Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2007,Jul 2007,51.54,2007-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2007,Aug 2007,52.33,2007-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2007,Sep 2007,52.39,2007-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2007,Oct 2007,52.39,2007-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2007,Nov 2007,52.5,2007-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2007,Dec 2007,52.82,2007-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2008,Jan 2008,54.47,2008-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2008,Feb 2008,54.58,2008-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2008,Mar 2008,55.32,2008-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2008,Apr 2008,56.55,2008-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2008,May 2008,57.29,2008-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2008,Jun 2008,57.4,2008-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2008,Jul 2008,57.96,2008-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2008,Aug 2008,58.15,2008-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2008,Sep 2008,58.57,2008-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2008,Oct 2008,58.76,2008-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2008,Nov 2008,59.08,2008-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2008,Dec 2008,59.87,2008-12-01
HICP.M.BG.N.041000.4D0.INX,M01,Jan,2009,Jan 2009,60.46,2009-01-01
HICP.M.BG.N.041000.4D0.INX,M02,Feb,2009,Feb 2009,61.24,2009-02-01
HICP.M.BG.N.041000.4D0.INX,M03,Mar,2009,Mar 2009,62.87,2009-03-01
HICP.M.BG.N.041000.4D0.INX,M04,Apr,2009,Apr 2009,63.68,2009-04-01
HICP.M.BG.N.041000.4D0.INX,M05,May,2009,May 2009,63.73,2009-05-01
HICP.M.BG.N.041000.4D0.INX,M06,Jun,2009,Jun 2009,63.85,2009-06-01
HICP.M.BG.N.041000.4D0.INX,M07,Jul,2009,Jul 2009,63.85,2009-07-01
HICP.M.BG.N.041000.4D0.INX,M08,Aug,2009,Aug 2009,63.85,2009-08-01
HICP.M.BG.N.041000.4D0.INX,M09,Sep,2009,Sep 2009,64.1,2009-09-01
HICP.M.BG.N.041000.4D0.INX,M10,Oct,2009,Oct 2009,64.1,2009-10-01
HICP.M.BG.N.041000.4D0.INX,M11,Nov,2009,Nov 2009,64.1,2009-11-01
HICP.M.BG.N.041000.4D0.INX,M12,Dec,2009,Dec 2009,64.05,2009-12-01
