Series ID,Month,Month Name,Year,Month_Year,Value,Year-format
ICP.M.BG.N.041000.4.INX,M04,Apr,2020,Apr 2020,109.45,2020-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2020,May 2020,109.65,2020-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2020,Jun 2020,109.66,2020-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2020,Jul 2020,109.81,2020-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2020,Aug 2020,109.81,2020-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2020,Sep 2020,109.96,2020-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2020,Oct 2020,109.94,2020-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2020,Nov 2020,110.02,2020-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2020,Dec 2020,110.06,2020-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2021,Jan 2021,110.68,2021-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2021,Feb 2021,110.76,2021-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2021,Mar 2021,110.93,2021-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2021,Apr 2021,110.97,2021-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2021,May 2021,111.43,2021-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2021,Jun 2021,111.42,2021-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2021,Jul 2021,111.36,2021-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2021,Aug 2021,111.48,2021-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2021,Sep 2021,111.7,2021-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2021,Oct 2021,111.7,2021-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2021,Nov 2021,111.98,2021-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2021,Dec 2021,112.62,2021-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2022,Jan 2022,113.46,2022-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2022,Feb 2022,115.74,2022-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2022,Mar 2022,117.36,2022-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2022,Apr 2022,117.55,2022-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2022,May 2022,118.42,2022-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2022,Jun 2022,118.6,2022-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2022,Jul 2022,118.88,2022-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2022,Aug 2022,119.24,2022-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2022,Sep 2022,120.09,2022-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2022,Oct 2022,120.1,2022-10-01
ICP.M.BG.N.041000.4.INX,M11,Nov,2022,Nov 2022,121.04,2022-11-01
ICP.M.BG.N.041000.4.INX,M12,Dec,2022,Dec 2022,121.24,2022-12-01
ICP.M.BG.N.041000.4.INX,M01,Jan,2023,Jan 2023,125.28,2023-01-01
ICP.M.BG.N.041000.4.INX,M02,Feb,2023,Feb 2023,126.41,2023-02-01
ICP.M.BG.N.041000.4.INX,M03,Mar,2023,Mar 2023,127.63,2023-03-01
ICP.M.BG.N.041000.4.INX,M04,Apr,2023,Apr 2023,127.78,2023-04-01
ICP.M.BG.N.041000.4.INX,M05,May,2023,May 2023,128.33,2023-05-01
ICP.M.BG.N.041000.4.INX,M06,Jun,2023,Jun 2023,128.49,2023-06-01
ICP.M.BG.N.041000.4.INX,M07,Jul,2023,Jul 2023,128.52,2023-07-01
ICP.M.BG.N.041000.4.INX,M08,Aug,2023,Aug 2023,129.03,2023-08-01
ICP.M.BG.N.041000.4.INX,M09,Sep,2023,Sep 2023,129.03,2023-09-01
ICP.M.BG.N.041000.4.INX,M10,Oct,2023,Oct 2023,129.62,2023-10-01
